..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
72B.1.......,.5...A...3.7,.9..C...5...,B.9.7C.6.1..,...8.39.B.A2,......5.69..,..67.9......,1C.5.4B.A...,..3.6.15.2.C,...4...B..1.,5.1...A...6.,.......7.485
B......26.9.,.7.....1.C..,...63B75..4.,..2B..C4....,6..........2,...A5...13C7,74C5...98...,1..........C,....64..72..,.9..476B3...,..6.9.....B.,.2.3A......9
..31........,.7.....A56.3,C.B2....1.7.,2...5431.C..,6.5..A......,1....BC.A...,...4.91....8,......4..2.9,..8.2C7B...5,.5.C....43.6,3.176.....5.,........C1..
A...97....6.,..9..62.B..1,.......3.8.C,C...B1...37.,...7..3.54C2,.3....7.....,.....A....B.,1275.3..8...,.C4...97...5,9.2.3.......,8..3.C1..9..,.A....45...3
.9.....2C...,..C7.38..9.B,.2..A....1..,54...C..8...,...976......,..A....51C.4,9.314....B..,......574...,...5..C...92,..8....A..6.,6.9..1B.58..,...38.....A.
.A1..2......,9.B..4....5.,672C...5....,..A926.B7.18,...2A....4..,...1.7.326..,..8B3.6.4...,..9....78...,36.51.94B2..,....6...574B,.9....B..1.C,......C..82.
6.2.9.1.....,...CB.....1.,517...386.2.,.54..1...2..,A.B9..2....1,......A.953.,.934.C......,8....4..59.6,..5...8..3A.,.2.A76...185,.7.....13...,.....5.2.A.B
...1.C..4...,.C.6...532..,.....B.1.7CA,C9...2..7.A.,8..2..94....,6....7.3.4..,..6.9.7....4,....81..C..6,.7.5..4...18,52C.B.A.....,..A93...6.2.,...8..1.A...
2.A.1.3..8..,8.....A5.17.,.9..7..2....,.....7......,..39...C..51,148.3B...AC.,.32...B7.468,B5..6...C7..,......8.....,....4..1..B.,.2C.96.....4,..1..2.A.C.5
..B...67.29.,...592....4.,7.9A4....8..,...B.9..46.8,3.7..C.4.B..,94..61......,......A6..37,..5.1.2..9.4,6.38..4.A...,..6....891.B,.8....316...,.B4.A6...7..
7.8....9.15.,6B...5.1..A4,...2...8B.6.,..7...6.18..,.8..C..A....,.A147.8.....,.....3.265B.,....6..C..7.,..65.8...2..,.7.B8...9...,15..A.B...4C,.62.1....7.B
.8.4.75....C,....B.1..8..,...CA..8B...,.6..2..7....,.5.8.B....73,.2...8...4C1,3B8...A...9.,29....8.A.3.,....6..3..4.,...34..C9...,..B..A.5....,5....62.8.1.
9...5....36.,..C..7...2.B,8..3.C..4...,653.21B...C.,B.....C..1..,...4...9..2.,.B..7...5...,..8..6.....C,.7...81C.6B2,...6..3.7..1,1.B...2..9..,.9A....5...8
3...........,B.C....6A.5.,.598.7C.4...,.....469.A2.,.2.1738.5...,..7.5...8.6.,.C.A...8.7..,...4.527C.9.,.B8.493.....,...B.65.9C8.,.4.52....6.B,...........4
657..3C...94,..........B2,...B.1A.67C.,..18.B....3.,...64..2....,..54A..6...1,5...1..B96..,....3..C4...,.6....2.5B..,.865.27.A...,B7..........,1C...AB..368
...1..CB....,A.6..8......,....56.7.41.,.7.614..8...,..1......CA.,.4B.C...17.9,C.A4...2.B3.,.18......5..,...B..962.8.,.24.9.6A....,......1..8.B,....8C..7...
.9..37..4.8.,..B8.6.57C.9,.5.6...C....,...7B4....C.,......6..1.7,..A.C.5.3..4,7..2.5.3.8..,5.9..A......,.C....726...,....6...A.3.,B.317.A.59..,.8.9..B4..7.
.B.29C...67.,.7...2.8..9.,..C...7..4..,.6...5....4.,285476....B3,..39.8..6...,...8..6.43..,94....25B781,.1....4...5.,..B..1...A..,.5..B.8...3.,.21...9C7.6.
...73...8..5,.9....7..2.A,.....52.3.B.,62.4...B..5.,..7..96...4C,....C.47.36.,.4A.97.6....,38...AB..C..,.C..8...B.A9,.B.2.C9.....,1.3..B....8.,9..6...3A...
.3.C.9...5..,..4..76C21B.,....15.B.9..,.........A52,......B....6,A46.C..7..3.,.A..9..3.48B,3....B......,785.........,..B.7.A5....,.58A3C9..B..,..7...8.5.6.
......92.C..,.9A..7....35,...5B3...72.,...12.A.....,...8...7.B.A,...7....528.,.572....6...,C.B.1...8...,.....9.64...,.86...1AC...,54....3..86.,..9.76......
A..2...1.5..,..78....34..,6...78.4...9,8..C1..6B...,..A.4B.C.2..,...B..8.7...,...1.A..5...,..8.2.17.9..,...96..5C..1,9...8.2A...C,..C4....27..,..2.9...8..5
.B8....5.4C.,...CA.......,7.42..C896..,87A..9.BC...,6.........89,.4.9..1..B..,..7..A..6.4.,43.........8,...18.3..57B,..147B..8C.5,.......93...,.5C.3....79.
84..69.1....,..19........,A...4....1.2,...2B.46.C31,B...C1...5..,.8.1.7....A.,.B....2.8.4.,..6...BC...3,758.9A.42...,6.B....7...A,........C3..,....1.CB..68
.B....6.9...,..C..9.A.6.5,..8......C.7,.7B...2.8.53,4...95A...12,......8..B..,..7..3......,86...754...B,C3.5.1...47.,9.3......8..,7.2.4.3..1..,...4.A....C.
8..5.67..4..,.....A417...,6...3B....5.,.......52B..,.2.C.....59.,..93..1.4..A,3..A.7..91..,.C1.....3.8.,..68A.......,.4....52...9,...B139.....,..8..46.B..3
.34...C.9...,25..1.6.....,..96.2.5..3.,......7B..8.,..87....21..,.....3.2.AB5,325.B.1.....,..BC....43..,.9..2A......,.7..A.4.36..,.....6.7..48,...4.8...2C.
.92....4.C..,.7...C9...5A,..C...5A.B..,.....8.2....,4.1......985,6....71..2A3,1C9..AB....7,BA4......8.9,....C.7.....,..5.B1...7..,A2...5C...9.,..B.2....A3.
.7..1.4B....,C9...6...3..,384.....B..7,5A378....C..,9...3C...2..,4......9...5,7...5......2,..A...96...8,..5....361BA,1..4.....853,..6...7...1B,....95.1..A.
..8..2...9..,.2.9C.4.3..5,...4..67...A,....9...B...,....A6...291,3B.A8....5.6,4.2....C6.18,C95...16....,...B...8....,B...5C..1...,8..5.B.39.7.,..A...7..6..
.C2.3.......,..38..A.9..C,.4...C6...3B,8...A..65.7.,C...751.6...,.....3...4.9,2.8...B.....,...B.A49...5,.5.38..1...A,98...23...A.,6..A.4..82..,.......A.5C.
.4..6B......,C.....A9...5,9B.847.5...3,....B...5...,A9B......1..,.7.6.43..9A.,.19..58.3.2.,..2......75C,...5...B....,4...A.968.C1,6...31.....B,......B8..7.
..3...6C...4,.8..1..A532.,1...7....A9.,2.......A.3.,.6...38..C59,.....2.1..B6,85..C.2.....,412..67...C.,.A.C.......1,.2C....3...5,.38AB..6..1.,5...8C...6..
2....13.5CA.,..C....51.24,...3..7.9..B,.5.C7..1.2.8,..........7.,.7..9826C...,...72589..C.,.1..........,B.2.C..74.8.,A..1.9..2...,9C.83....B..,.3B2.6C....9
27....3A.9..,6B4....9....,...56.724..3,..A......3.8,4.......521.,1..253.....4,7.....542..1,.18C.......6,A.B......7..,8..B7C.13...,....B....C42,..5.38....79
A..B.1..2.89,1..8.2.4.AC.,..3....A.7..,..A7........,..C..A3B84.1,....7C....2A,4B....52....,5.21478..B..,........52..,..1.C....9..,.7B.3.1.A..2,C9.4..2.6..7
7.4.....8...,.16.8.73...C,.9...45.....,.3......2..6,...4.A.2.8.B,B....18.7A..,..1B.3C....4,4.7.9.A.6...,C..6......A.,.....52...C.,3...6C.8.42.,...C.....7.8
.75.A...618.,...245.7...A,BA.9.6......,1C..B.6.....,..3....9..6.,5B.7........,........5.74,.1..2....C..,.....3.C..92,......8.7.2C,2...7.4A3...,.9A3...1.54.
..A.9.B8....,.2.....C3.A.,93.....A6...,.......4.3..,A.49.7......,7.3.8.1.A.B.,.A.C.2.7.4.3,......A.86.B,..7.5.......,...71.....9A,.C.23.....8.,....4C.6.7..
...36...8...,6....581.4A.,...8.B23....,.49...5...C7,..C.48A.6...,..3...B....9,9....1...3..,...2.7C5.9..,75...4...C2.,....C39.2...,.3A.B21....8,...C...4B...
..B.79..1..A,.C.7....2.5.,6.1...8...C.,7.3.5.2...8.,.A..3.C.9...,..4197...A..,..7...698B..,...B.C.7..1.,.1...5.2.3.6,.B...6...8.1,.7.3....A.6.,4..A..75.2..
3......14...,A1....2..673,....83.7....,6.....7.8...,.A.45....3..,12.5..4.C9A.,.947.2..1.68,..6....AB.C.,...C.6.....5,....2.16....,781..B....56,...39......4
...A..19..4.,.B..C27.....,2..6.5..3C..,.......51.2.,..67..3....C,5C.82...B..4,9..1...B2.87,8....4..CA..,.3.25.......,..BC..A.5..6,.....B42..C.,.8..63..A...
..A......8C.,.7.94.C...5A,.....B.64..7,..13.5..6..B,6.....B3..92,...72......4,5......1A...,96..A7.....1,A..C..3.26..,1..8B.2.....,7B...6.8C.4.,.3C......2..
794.3.B..1..,..2.A..8.C..,.6.C..2..7..,...8......A4,.BC.4..98.25,.......6....,....7.......,CA.25..B.48.,91......A...,..6..4..B.5.,..1.9..5.8..,..B..1.3.246
....462.....,...1....C..2,6..41..B...8,.48.9.3..C1.,1A9......6..,..72...6...3,8...B...3A..,..2......58C,.64..C.A.29.,9...C..7A..5,4..C....7...,.....B48....
...5A......3,.3..8219....,.8.7.....A9.,.C..4...38.7,4..87.6C1..2,.1...A.....4,6.....9...C.,C..B26.A9..8,5.83...4..2.,.72.....A.4.,....54A8..7.,9......6B...
B...A.....9.,..A..2..B7..,..92...7A..5,..6..829....,C2..1B..6...,9371...4....,....B...8329,...6..82..1B,....579..C..,1..46...28..,..2C..5..A..,.A.....1...7
5...7...3...,.C.....B...4,49...1....5C,.4A.8..C72..,...6.4..C.B.,.....267..41,67..C84.....,.1.9..3.B...,..426..1.C8.,B2....8...1A,8...4.....3.,...3...6...7
......43C...,C.9..B.1....,1.42.5C..9.3,..A3.....5.9,.C..4.29.1..,.....3..48..,..CA..7.....,..2.B9.4..A.,3.B.....27..,6.8..2A.1C.5,....1.9..3.6,...976......
32.....B..4.,...4.9C.81.2,.6...5.83...,6..A........,....2.5....8,2.1.8.96..54,73..C4.2.6.5,4....7.5....,........4..A,...51.7...9.,1.B2.84.C...,.9..5.....83
..16...4..5.,.B3....7..96,...5.B......,3C......24..,..849.6....1,...A.4C..8..,..5..87.9...,9....6.C1B..,..A3......C7,......5.C...,84..C....A1.,.A..8...47..
