7...A.E.....6G.2,..E..1...7A...D.,B.4....6..9.E...,.A.6...4..E2FB.8,EF..4.G5.D1.7...,...5C..D...G.8.1,1...B..7......G.,..7G.E.84.F3.D9.,.C9.15.ED.8.26..,.7......E..A...C,6.B.8...5..43...,...D.B4.23.F..8E,D.2156..C...G.A.,...B.D..G....F.7,.6...F9...3..5..,5.8F.....6.D...3
8G......B.436..2,1..4..5.....3FBG,..F.B..E5G......,E..5F.63........,.D...2....84.AGC,..5B6..D...G...4,6.4.....E.37.D..,2.3G4.9....D75..,..631....D.EAB.9,..A.7E.G.....2.6,D...A...8..2C7..,428.9D....1...3.,........91.6G..5,......AF3..B.8..,5378.....E..F..A,9..6GC.5......D3
9.E7.C14.......B,18.B3.6F....A..7,6.G..D...EB...2.,.F.....5....91..,.9.....3.2...G..,....67.A.81.....,...2...CA.GF..75,8B..12..D....F6A,2D5....6..8G..93,F3..21.GC...8...,.....38.1.A5....,..A...D.E.....C.,..BF....2.....5.,.2...E4...3..6.9,D..3....7C.6B.1G,C.......BGD.FE.8
...B....A.D9.G3.,..E......F.7B4.9,.......6.3.ED...,..AF7G..8.....C.,B.G....2..1C....,D.4..5.F.E3.8...,.A3...BG7..D...4,E2.C14...8.B.3..,..1.4.6...C8F.2G,F...C..EB1...8A.,...2.87.3.4..B.D,....9D..6....5.7,.F.....A..E4G6..,...EG.1.9.......,8.6GB.E......7..,.CB.86.D....4...
..F5...DE....7.1,...A5G.7.....324,.9...138..BA5...,....F.6.57..D8..,..EG3.4.2...79D.,..93..5.B..7...G,A....8..4..9.C3.,.7..9..E3G6C....,....GD768..E..B.,.GD.C..F..3....A,2...1..4.9..3G..,.457...3.C.2F1..,..C1..BA.E.8....,...E47..1B2...C.,F6B.....7.GD8...,5.7....GA...BF..
.4F....G.B...E..,3.E......62.7..4,7A.C26..4319.F..,.....4........5.,1G6....D.2CB....,.E..5..6...3D1.G,...492..5..G...8,.3D.B.EF.......2,5.......DC.1.B4.,F...1..B..745...,A.BED...2..5..7.,....CE7.B....3D1,.5........9.....,..G.A72C..E86.1F,D..7.16......2.3,..8...5.1....GA.
.....F5.A..1..G.,8....C.D46.F..91,3..9...6..7..2CF,...C.....593...6,.8..3.E.9D...7..,..43.1.G..86..A.,.E9.....1..A4..G,D.7.5.....EG3.F.,.1.AGB.....E.4.D,2..8F..9.....E6.,.7..AE..5.D.8C..,..D...72.8.B..1.,7...62F.....A...,698..7..B...F..5,BF..8.946.A....C,.A..1..B.F2.....
.B..48.6..F.72.1,...E...D1..9..A.,.D2..A3.....B8..,4..F1....3.2.C..,.E...CG...1...B6,..14F...D...3..C,.....6DBG..7.1..,G.B...2.349.8.F.,.F.7.5C2.1...A.3,..3.G..1C62.....,C..B...E...F15..,D1...F...8A...C.,..D.8.4....1F..5,..49.....B5..D8.,.5..7..C6...G...,F.71.2..9.8D..E.
...7..2BGE156...,D.CE63.1.F.8....,..A.D....7649.1.,.1...4....D..B..,E...2.D....B.A..,G.2.....715...4F,...C5..4839.....,13F.E.......7.9.,.F.1.......G.4B8,.....D4C5..9A...,4D...2BA.....9.C,..5.G....B.2...E,..3..5....F...C.,.2.63B9....A.8..,....C.G.4.8613.7,...48F76B9..G...
...7...D....41..,3.....4E269...8.,F...1......A....,24.5.8...1D3.B76,7....28..C.9GD..,C..94B.A1.E.....,.D1..3.....G.9..,AB..69......5...,...F......27..A3,..4.G.....3..86.,.....A.8D.1BF..7,..A3F.C..56....E,69C.A52...7.8.31,....9......1...5,.3...1F7B4.....9,..F4....C...B...
.....7.69.......,.9....8....2...A,F.1AD..3B54...G7,...7BA4....6CE..,7..9.DG..C1.....,..6..8C.G.....92,..2C.....4A7D...,GF.B..6A2E....7.,.C....7413..A.EG,...GC5A.....BF..,A3.....2.9B..D..,.....3D..F6.5..9,..FD7....6GE3...,87...29GA..316.E,6...A....2....F.,.......F4.9.....
